Image,Algorithm,Run,Time_Enc,Time_Dec,Entropy,Corr_Avg
images/lena_gray_256.tif,DES-CBC (C),1,0.00072233,0.00062800,7.996937,0.005636
images/lena_gray_256.tif,AES-CBC (C),1,0.00005700,0.00001100,7.996895,-0.001904
images/lena_gray_256.tif,Blowfish-CBC (C),1,0.00039200,0.00035100,7.997075,0.007777
images/lena_gray_256.tif,ChaCha20 (C),1,0.00002833,0.00001500,7.997394,-0.008956
images/lena_gray_256.tif,DES-CBC (MATLAB*),1,1.03810633,0.00400400,7.989439,0.013251
images/lena_gray_256.tif,AES-CBC (MATLAB*),1,0.39664167,0.01419900,7.997175,0.010041
images/lena_gray_256.tif,Blowfish-CBC (MATLAB*),1,0.23329733,0.00416500,7.996990,0.001716
images/lena_gray_256.tif,ChaCha20 (MATLAB*),1,0.00655400,0.00647100,7.997063,0.013974
images/lena_gray_256.tif,Chaos Circular Shifts (MATLAB),1,0.01494033,0.01745500,7.997183,-0.007374
images/lena_gray_256.tif,3D-Logistic-Chirikov (MATLAB),1,0.45865033,0.46686600,7.996919,0.018070
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB - Orig),1,1.13880867,1.53605000,7.997080,-0.000737
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB* - Opt),1,0.26216867,0.20149400,7.996662,0.009857
images/lena_gray_256.tif,Hyperchaotic and 2D Sensing (MATLAB*),1,0.01919367,0.00206300,7.997719,0.004511
images/lena_gray_256.tif,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00606067,0.00573000,7.997468,-0.012749
images/lena_gray_256.tif,Hyperchaotic Adaptive (MATLAB*),1,0.31778600,0.34771500,7.999365,-0.016929
