Plik,Algorytm,Przebieg,NPCR_Poczatek,UACI_Poczatek,NPCR_Srodek,UACI_Srodek,NPCR_Koniec,UACI_Koniec
images/lena_gray_256.tif,DES-CBC (C),1,99.60784912,33.51159189,49.83367920,16.79303936,0.01220703,0.00275855
images/lena_gray_256.tif,AES-CBC (C),1,99.59869385,33.36414412,49.82604980,16.64072074,0.02441406,0.00788072
images/lena_gray_256.tif,Blowfish-CBC (C),1,99.62615967,33.46707213,49.80621338,16.65933048,0.01220703,0.00263289
images/lena_gray_256.tif,ChaCha20 (C),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,DES-CBC (MATLAB*),1,98.86296537,33.22129530,49.44510893,16.59212011,0.02422444,0.00743952
images/lena_gray_256.tif,AES-CBC (MATLAB*),1,99.62310791,33.31212062,49.83367920,16.80514467,0.02441406,0.00670190
images/lena_gray_256.tif,Blowfish-CBC (MATLAB*),1,99.54986572,33.49106134,49.82147217,16.71395096,0.01220703,0.00269273
images/lena_gray_256.tif,ChaCha20 (MATLAB*),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,Chaos Circular Shifts (MATLAB),1,99.60479736,33.31684187,99.61853027,33.38388480,99.60937500,33.46881941
images/lena_gray_256.tif,3D-Logistic-Chirikov (MATLAB),1,0.00000000,0.00000000,0.00152588,0.00076593,0.00457764,0.00087364
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB - Orig),1,99.58648682,33.47686768,99.58648682,33.47707113,99.63531494,33.50337010
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB* - Opt),1,99.62921143,33.66490383,99.62921143,33.66452086,99.63684082,33.58133353
images/lena_gray_256.tif,Hyperchaotic and 2D Sensing (MATLAB*),1,99.67651367,33.65188898,99.96337891,33.43175551,99.69940186,33.56589523
images/lena_gray_256.tif,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,Hyperchaotic Adaptive (MATLAB*),1,99.62158203,33.56553620,99.63073730,33.28710818,99.60174561,33.44888725
images/lena_gray_256.tif,AES (Pixel/ECB Mode),1,0.02441406,0.00796449,0.02441406,0.00695322,0.02441406,0.00617532
images/lena_gray_256.tif,DES (Pixel/ECB Mode),1,0.01220703,0.00409893,0.01220703,0.00350653,0.01220703,0.00268674
